Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,75499.898438,75900.000000,75097.000000,75505.000000,74994.421875,3521
2018-07-10,75551.000000,76429.351563,75240.046875,75943.898438,75430.351563,5016
2018-07-11,76000.000000,76549.000000,75525.046875,76153.796875,75638.828125,3293
2018-07-12,76500.000000,78178.351563,76405.000000,77611.203125,77086.390625,13063
2018-07-13,77611.203125,77999.000000,76560.000000,77059.750000,76538.648438,3963
2018-07-16,77060.000000,77060.000000,74118.500000,74332.000000,73829.351563,7317
2018-07-17,74599.953125,75372.648438,74327.000000,74608.953125,74104.445313,5825
2018-07-18,75248.000000,75490.000000,73666.000000,73852.351563,73352.937500,4812
2018-07-19,74404.851563,74920.000000,73938.953125,74475.296875,73971.656250,3949
2018-07-20,74225.296875,77683.500000,74100.000000,76812.453125,76293.023438,9474
2018-07-23,76999.000000,78000.000000,75712.000000,77782.500000,77256.515625,4861
2018-07-24,77848.000000,78267.203125,77057.546875,77627.898438,77102.960938,7761
2018-07-25,77115.000000,78900.000000,77115.000000,78208.750000,77679.875000,5727
2018-07-26,78500.000000,78899.000000,78310.953125,78644.750000,78112.929688,4472
2018-07-27,78999.000000,81013.546875,78600.046875,80860.453125,80313.648438,11401
2018-07-30,80998.000000,81190.953125,79201.000000,79931.398438,79390.875000,7295
2018-07-31,80740.000000,80740.000000,79277.851563,79490.351563,78952.820313,4446
2018-08-01,79987.000000,80396.796875,79200.000000,79578.851563,79094.453125,4888
2018-08-02,79580.000000,79580.000000,78005.000000,78372.953125,77948.781250,5254
2018-08-03,78622.953125,79150.000000,78379.851563,78477.148438,78052.429688,3557
2018-08-06,78485.000000,78935.851563,76501.000000,76892.296875,76476.140625,5089
2018-08-07,76880.000000,77583.351563,76701.000000,77200.203125,76782.375000,4539
2018-08-08,77099.750000,77589.851563,76311.101563,76650.101563,76235.273438,6784
2018-08-09,77077.000000,77450.203125,75411.046875,75995.101563,75583.796875,27709
